No,Kode,NamaPerusahaan,papanPencatatan,Sektor,numSelisih,numPenutupan,numGainers,Gainers,numVolume,Volume,numNilai,Nilai,numFreq,Freq
1,AALI,Astra Agro Lestari Tbk.,Utama,Noncyc,-75,8625,-0.86%,gainersRendah,2154300,volumeRendah,18553022500,nilaiSedang nilaiRendah,1487,freqRendah
2,ABBA,Mahaka Media Tbk.,Pengembangan,Cyclic,-1,183,-0.54%,gainersRendah,11412300,volumeRendah,2091509500,nilaiRendah,1071,freqRendah
3,ABDA,Asuransi Bina Dana Arta Tbk.,Pengembangan,Financials,0,6600,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
4,ABMM,ABM Investama Tbk.,Utama,Industrials,-160,3620,-4.23%,gainersRendah,7397700,volumeRendah,26986932000,nilaiSedang nilaiRendah,2480,freqRendah
5,ACES,Ace Hardware Indonesia Tbk.,Utama,Cyclic,10,590,1.72%,gainersRendah,85946300,volumeSedang volumeRendah,49649998500,nilaiSedang nilaiRendah,5358,freqSedang freqRendah
6,ACST,Acset Indonusa Tbk.,Utama,Infrasctructures,-2,177,-1.12%,gainersRendah,3566000,volumeRendah,634988500,nilaiRendah,249,freqRendah
7,ADCP,Adhi Commuter Properti Tbk.,Utama,Properties & Real Estate,1,74,1.37%,gainersRendah,6672100,volumeRendah,488185000,nilaiRendah,574,freqRendah
8,ADES,Akasha Wira International Tbk.,Pengembangan,Noncyc,50,7150,0.70%,gainersRendah,59600,volumeRendah,424350000,nilaiRendah,105,freqRendah
9,ADHI,Adhi Karya (Persero) Tbk.,Utama,Infrasctructures,-5,550,-0.90%,gainersRendah,23983100,volumeSedang volumeRendah,13269832000,nilaiSedang nilaiRendah,1534,freqRendah
10,ADMF,Adira Dinamika Multi Finance Tbk.,Utama,Financials,-25,8675,-0.29%,gainersRendah,134000,volumeRendah,1174500000,nilaiRendah,182,freqRendah
11,ADMG,Polychem Indonesia Tbk,Utama,Basic Materials,0,158,0.00%,gainersRendah,1865300,volumeRendah,296688900,nilaiRendah,226,freqRendah
12,ADMR,Adaro Minerals Indonesia Tbk.,Pengembangan,Energy,20,1765,1.15%,gainersRendah,23303200,volumeSedang volumeRendah,40940604000,nilaiSedang nilaiRendah,4908,freqSedang freqRendah
13,ADRO,Adaro Energy Indonesia Tbk.,Utama,Energy,0,3750,0.00%,gainersRendah,78870300,volumeSedang volumeRendah,294828566000,nilaiTinggi nilaiSedang nilaiRendah,10846,freqSedang freqRendah
14,AGAR,Asia Sejahtera Mina Tbk.,Pengembangan,Noncyc,6,304,2.01%,gainersSedang gainersRendah,8300,volumeRendah,2470400,nilaiRendah,19,freqRendah
15,AGII,Aneka Gas Industri Tbk.,Utama,Basic Materials,-30,1970,-1.50%,gainersRendah,8425500,volumeRendah,16809376500,nilaiSedang nilaiRendah,2100,freqRendah
16,AGRO,Bank Raya Indonesia Tbk.,Utama,Financials,-20,520,-3.70%,gainersRendah,31481600,volumeSedang volumeRendah,16390920500,nilaiSedang nilaiRendah,3174,freqSedang freqRendah
17,AGRS,Bank IBK Indonesia Tbk.,Pengembangan,Financials,0,92,0.00%,gainersRendah,2707100,volumeRendah,250014900,nilaiRendah,185,freqRendah
18,AHAP,Asuransi Harta Aman Pratama Tbk.,Pengembangan,Financials,-3,92,-3.16%,gainersRendah,11671800,volumeRendah,1092397600,nilaiRendah,906,freqRendah
19,AIMS,Akbar Indo Makmur Stimec Tbk,Pengembangan,Energy,6,226,2.73%,gainersSedang gainersRendah,4800,volumeRendah,1071200,nilaiRendah,20,freqRendah
20,AISA,FKS Food Sejahtera Tbk.,Utama,Noncyc,11,181,6.47%,gainersSedang gainersRendah,50352500,volumeSedang volumeRendah,8983752100,nilaiRendah,3777,freqSedang freqRendah
21,AKKU,Anugerah Kagum Karya Utama Tbk.,Pengembangan,Cyclic,0,50,0.00%,gainersRendah,500,volumeRendah,25000,nilaiRendah,4,freqRendah
22,AKPI,Argha Karya Prima Industry Tbk.,Pengembangan,Basic Materials,-45,1435,-3.04%,gainersRendah,46500,volumeRendah,68261000,nilaiRendah,57,freqRendah
23,AKRA,AKR Corporindo Tbk.,Utama,Energy,-35,1515,-2.26%,gainersRendah,55487800,volumeSedang volumeRendah,83730152000,nilaiSedang nilaiRendah,7961,freqSedang freqRendah
24,AKSI,Mineral Sumberdaya Mandiri Tbk.,Pengembangan,Transportation & Logistic,2,294,0.68%,gainersRendah,215200,volumeRendah,63210000,nilaiRendah,51,freqRendah
25,ALDO,Alkindo Naratama Tbk.,Pengembangan,Basic Materials,15,860,1.78%,gainersRendah,758100,volumeRendah,655769000,nilaiRendah,332,freqRendah
26,ALKA,Alakasa Industrindo Tbk,Pengembangan,Basic Materials,-2,288,-0.69%,gainersRendah,105200,volumeRendah,30298600,nilaiRendah,6,freqRendah
27,ALMI,Alumindo Light Metal Industry Tbk.,Pengembangan,Basic Materials,-6,352,-1.68%,gainersRendah,40800,volumeRendah,14338000,nilaiRendah,67,freqRendah
28,ALTO,Tri Banyan Tirta Tbk.,Utama,Noncyc,-4,156,-2.50%,gainersRendah,99400,volumeRendah,15303500,nilaiRendah,44,freqRendah
29,AMAG,Asuransi Multi Artha Guna Tbk.,Pengembangan,Financials,0,360,0.00%,gainersRendah,36400,volumeRendah,13115400,nilaiRendah,25,freqRendah
30,AMAN,Makmur Berkah Amanda Tbk.,Utama,Properties & Real Estate,5,715,0.70%,gainersRendah,112800,volumeRendah,80135000,nilaiRendah,15,freqRendah
31,AMAR,Bank Amar Indonesia Tbk.,Pengembangan,Financials,-4,306,-1.29%,gainersRendah,13772400,volumeRendah,4202370400,nilaiRendah,6340,freqSedang freqRendah
32,AMFG,Asahimas Flat Glass Tbk.,Utama,Industrials,-75,5900,-1.26%,gainersRendah,140500,volumeRendah,834590000,nilaiRendah,180,freqRendah
33,AMIN,Ateliers Mecaniques D Indonesie Tbk.,Pengembangan,Industrials,2,134,1.52%,gainersRendah,4100,volumeRendah,552200,nilaiRendah,14,freqRendah
34,AMMS,Agung Menjangan Mas Tbk.,Akselerasi,Noncyc,1,49,2.08%,gainersSedang gainersRendah,5782500,volumeRendah,281833000,nilaiRendah,599,freqRendah
35,AMOR,Ashmore Asset Management Indonesia Tbk.,Pengembangan,Financials,10,1065,0.95%,gainersRendah,76400,volumeRendah,81620000,nilaiRendah,66,freqRendah
36,AMRT,Sumber Alfaria Trijaya Tbk.,Utama,Noncyc,0,2630,0.00%,gainersRendah,27904300,volumeSedang volumeRendah,72923403000,nilaiSedang nilaiRendah,7034,freqSedang freqRendah
37,ANDI,Andira Agro Tbk.,Pengembangan,Noncyc,0,50,0.00%,gainersRendah,1100,volumeRendah,55000,nilaiRendah,5,freqRendah
38,ANJT,Austindo Nusantara Jaya Tbk.,Utama,Noncyc,-5,710,-0.70%,gainersRendah,2208100,volumeRendah,1568360000,nilaiRendah,380,freqRendah
39,ANTM,Aneka Tambang Tbk.,Utama,Basic Materials,85,1915,4.64%,gainersSedang gainersRendah,87262700,volumeSedang volumeRendah,162733613000,nilaiTinggi nilaiSedang nilaiRendah,18091,freqTinggi freqSedang freqRendah
40,APEX,Apexindo Pratama Duta Tbk.,Pengembangan,Energy,-10,338,-2.87%,gainersRendah,1320900,volumeRendah,447437200,nilaiRendah,495,freqRendah
41,APIC,Pacific Strategic Financial Tbk.,Pengembangan,Financials,-5,1120,-0.44%,gainersRendah,3805700,volumeRendah,4258602000,nilaiRendah,498,freqRendah
42,APII,Arita Prima Indonesia Tbk.,Pengembangan,Industrials,0,202,0.00%,gainersRendah,1250600,volumeRendah,254114400,nilaiRendah,223,freqRendah
43,APLI,Asiaplast Industries Tbk.,Utama,Basic Materials,-10,192,-4.95%,gainersRendah,2809200,volumeRendah,534780800,nilaiRendah,492,freqRendah
44,APLN,Agung Podomoro Land Tbk.,Utama,Properties & Real Estate,-1,162,-0.61%,gainersRendah,89496300,volumeSedang volumeRendah,14331734700,nilaiSedang nilaiRendah,3791,freqSedang freqRendah
